ld: warning: ignoring duplicate libraries: '-lobjc'
frame=1 begin=187242316567083 end=0
frame=8 begin=187242401772125 end=187242385161708
frame=38 begin=187242652005416 end=187242635343333
frame=42 begin=187242685313458 end=187242668767500
frame=46 begin=187242718662708 end=187242702058791
frame=50 begin=187242751959000 end=187242735389666
frame=53 begin=187242776961916 end=187242760353291
frame=55 begin=187242793637291 end=187242777018375
frame=70 begin=187242918829583 end=187242902220333
frame=71 begin=187242927174750 end=187242910568333
frame=72 begin=187242935526541 end=187242918886291
frame=125 begin=187243378597458 end=187243361845916
frame=134 begin=187243453946041 end=187243437145541
frame=156 begin=187243637693875 end=187243621092791
frame=170 begin=187243754582166 end=187243737917000
frame=182 begin=187243854934041 end=187243838221666
frame=186 begin=187243888384708 end=187243871806916
frame=207 begin=187244064447125 end=187244047706333
frame=218 begin=187244156532875 end=187244139803875
frame=224 begin=187244206772500 end=187244189966125
frame=225 begin=187244215071125 end=187244198303083
frame=226 begin=187244223370333 end=187244206829500
frame=228 begin=187244240207708 end=187244223427625
frame=229 begin=187244248370000 end=187244231826291
frame=231 begin=187244265332875 end=187244248428125
frame=233 begin=187244281763333 end=187244265389791
frame=234 begin=187244290050625 end=187244273684041
frame=239 begin=187244332107750 end=187244315378916
frame=242 begin=187244357489416 end=187244340386500
frame=243 begin=187244365818833 end=187244348771750
frame=244 begin=187244374170625 end=187244357546541
frame=245 begin=187244382414791 end=187244365876125
frame=246 begin=187244390732375 end=187244374228208
frame=247 begin=187244399039125 end=187244382471708
frame=248 begin=187244407391666 end=187244390790125
frame=263 begin=187244532727500 end=187244516100333
frame=273 begin=187244616522875 end=187244599560583
valid=241 invalid=37
