ld: warning: ignoring duplicate libraries: '-lobjc'
frame=1 begin=187202917058083 end=0
frame=21 begin=187203181880041 end=187203165221333
frame=22 begin=187203190204375 end=187203173628291
frame=27 begin=187203232183791 end=187203215300125
frame=30 begin=187203257283875 end=187203240572458
frame=31 begin=187203265721875 end=187203249095791
frame=54 begin=187203458293375 end=187203441570458
frame=56 begin=187203475079208 end=187203458351375
frame=64 begin=187203541895500 end=187203525265958
frame=70 begin=187203592069708 end=187203575456250
frame=73 begin=187203617144125 end=187203600439208
frame=109 begin=187203918573500 end=187203901743750
frame=133 begin=187204119589666 end=187204102780833
frame=135 begin=187204136479166 end=187204119647541
frame=136 begin=187204144723500 end=187204128054208
frame=148 begin=187204245751291 end=187204229106166
frame=149 begin=187204253312666 end=187204237401916
frame=151 begin=187204270656666 end=187204254119083
frame=152 begin=187204279105916 end=187204262792041
frame=153 begin=187204287481916 end=187204270921833
frame=158 begin=187204329036708 end=187204312764208
frame=159 begin=187204337339458 end=187204321195000
frame=160 begin=187204345631291 end=187204329094791
frame=161 begin=187204354007541 end=187204337397416
frame=162 begin=187204362430000 end=187204345688750
frame=165 begin=187204387356250 end=187204371135166
frame=167 begin=187204404163708 end=187204387414666
frame=169 begin=187204420780708 end=187204404509791
frame=170 begin=187204429088166 end=187204412786375
frame=171 begin=187204437349958 end=187204421069416
frame=172 begin=187204445792166 end=187204429362250
frame=173 begin=187204453996375 end=187204437407625
frame=174 begin=187204462452333 end=187204445849916
frame=175 begin=187204470763291 end=187204454055083
frame=177 begin=187204487367791 end=187204470821000
frame=178 begin=187204495666708 end=187204479401208
frame=179 begin=187204504020500 end=187204487427791
frame=180 begin=187204512583250 end=187204495724708
frame=221 begin=187204856507916 end=187204839796541
valid=187 invalid=39
