ld: warning: ignoring duplicate libraries: '-lobjc'
frame=2 begin=186739358264166 end=186739325081833
frame=16 begin=186739474894291 end=186739458152500
frame=26 begin=186739557870625 end=186739541544333
frame=28 begin=186739574568291 end=186739557934583
frame=32 begin=186739607881708 end=186739591316958
frame=52 begin=186739774875125 end=186739758220583
frame=58 begin=186739824947583 end=186739808257208
frame=76 begin=186739975019500 end=186739958328333
frame=80 begin=186740008380666 end=186739991698500
frame=81 begin=186740016746250 end=186740000033500
frame=82 begin=186740025069166 end=186740008390583
frame=84 begin=186740041747833 end=186740025079125
frame=88 begin=186740075066625 end=186740058435083
frame=90 begin=186740091729000 end=186740075076541
frame=92 begin=186740108418958 end=186740091738750
frame=94 begin=186740125077083 end=186740108428791
frame=96 begin=186740141745625 end=186740125087000
frame=98 begin=186740158592041 end=186740141755625
frame=104 begin=186740208454625 end=186740191757291
frame=105 begin=186740216812291 end=186740200188833
frame=110 begin=186740258494541 end=186740241793291
frame=112 begin=186740275298375 end=186740258504458
frame=113 begin=186740283624750 end=186740266915333
frame=114 begin=186740291971541 end=186740275308250
frame=116 begin=186740308627958 end=186740291981583
frame=120 begin=186740342022083 end=186740325296625
frame=127 begin=186740400254875 end=186740383607708
frame=167 begin=186740733766875 end=186740716953541
valid=211 invalid=28
